Electoral district number - Numéro de la circonscription,Electoral district name,Type of results*,Surname - Nom de famille,Given name - Prénom,Political affiliation,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés,Province,,,,,
48014,Edmonton Centre,validated,Stauffer,Steven,Rhinoceros,257,0.5,234,53746,Alberta,,,,,
48014,Edmonton Centre,validated,Yaki,Kat,Independent,163,0.3,234,53746,Alberta,,,,,
48015,Edmonton Griesbach,validated,Diotte,Kerry,Conservative,19157,40,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Gold,Brian,Liberal,10397,21.7,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Goncharenko,Maryna,Libertarian,415,0.9,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Irwin,Janis,NDP-New Democratic Party,16309,34,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Joyce,Mary,Marxist-Leninist,112,0.2,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Northcott,Linda,Radical Marijuana,279,0.6,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Thompson,Bun Bun,Rhinoceros,144,0.3,289,48231,Alberta,,,,,
48015,Edmonton Griesbach,validated,Workman,Heather,Green Party,1129,2.4,289,48231,Alberta,,,,,
48016,Edmonton Manning,validated,Aboultaif,Ziad,Conservative,22166,45.2,185,49186,Alberta,,,,,
48016,Edmonton Manning,validated,Aujla,Sukhdev,Liberal,13509,27.6,185,49186,Alberta,,,,,
48016,Edmonton Manning,validated,Deres,Mebreate,Independent,540,1.1,185,49186,Alberta,,,,,
48016,Edmonton Manning,validated,Paquette,Aaron,NDP-New Democratic Party,11582,23.6,185,49186,Alberta,,,,,
48016,Edmonton Manning,validated,Vachon,André,Marxist-Leninist,125,0.3,185,49186,Alberta,,,,,
48016,Edmonton Manning,validated,Vallee,Chris,Green Party,1079,2.2,185,49186,Alberta,,,,,
48018,Edmonton Riverbend,validated,Chaudary,Tariq,Liberal,17428,30.2,178,57918,Alberta,,,,,
48018,Edmonton Riverbend,validated,Fleck,Brian,NDP-New Democratic Party,9846,17.1,178,57918,Alberta,,,,,
48018,Edmonton Riverbend,validated,Jeneroux,Matt,Conservative,28805,49.9,178,57918,Alberta,,,,,
48018,Edmonton Riverbend,validated,Kennedy,Valerie,Green Party,1275,2.2,178,57918,Alberta,,,,,
48018,Edmonton Riverbend,validated,Lack,Steven,Libertarian,386,0.7,178,57918,Alberta,,,,,
48019,Edmonton Strathcona,validated,Binnema,Jacob K.,Green Party,1278,2.3,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Bromsgrove,Ryan,Pirate,201,0.4,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Duncan,Linda,NDP-New Democratic Party,24446,44,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Eckstrom,Donovan,Rhinoceros,133,0.2,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Jones,Chris,Independent,116,0.2,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,MacDonald,Dougal,Marxist-Leninist,93,0.2,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Olszewski,Eleanor,Liberal,11524,20.7,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Schurman,Andrew,Independent,107,0.2,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Stinson,Malcolm,Libertarian,311,0.6,217,55821,Alberta,,,,,
48019,Edmonton Strathcona,validated,Thom,Len,Conservative,17395,31.3,217,55821,Alberta,,,,,
48020,Edmonton West,validated,Bryan,Pamela Leslie,Green Party,1037,1.9,233,53690,Alberta,,,,,
48020,Edmonton West,validated,Dussault,Alexander,Libertarian,341,0.6,233,53690,Alberta,,,,,
48020,Edmonton West,validated,Leibovici,Karen,Liberal,18649,34.9,233,53690,Alberta,,,,,
48020,Edmonton West,validated,MacKenzie,Heather,NDP-New Democratic Party,6955,13,233,53690,Alberta,,,,,
48020,Edmonton West,validated,McCauley,Kelly,Conservative,26370,49.3,233,53690,Alberta,,,,,
48020,Edmonton West,validated,Morton,Peggy,Marxist-Leninist,105,0.2,233,53690,Alberta,,,,,
48021,Edmonton--Wetaskiwin,validated,Biollo,Jacqueline,Liberal,14660,21.5,197,68541,Alberta,,,,,
48021,Edmonton--Wetaskiwin,validated,Bitz,Fritz K.,NDP-New Democratic Party,6645,9.7,197,68541,Alberta,,,,,
48021,Edmonton--Wetaskiwin,validated,Hut,Joy-Ann,Green Party,1595,2.3,197,68541,Alberta,,,,,
48021,Edmonton--Wetaskiwin,validated,Lake,Mike,Conservative,44949,65.8,197,68541,Alberta,,,,,
48021,Edmonton--Wetaskiwin,validated,Whitlock,Brayden,Libertarian,495,0.7,197,68541,Alberta,,,,,
48022,Foothills,validated,Barlow,John,Conservative,46166,75.7,141,61127,Alberta,,,,,
48022,Foothills,validated,MacPherson,Tanya,Liberal,8149,13.4,141,61127,Alberta,,,,,
48022,Foothills,validated,Morgan,Cory,Libertarian,424,0.7,141,61127,Alberta,,,,,
48022,Foothills,validated,Slingerland,Marc,Christian Heritage Party,345,0.6,141,61127,Alberta,,,,,
48022,Foothills,validated,Thompson,Alison,NDP-New Democratic Party,3919,6.4,141,61127,Alberta,,,,,
48022,Foothills,validated,Tittel,Romy S.,Green Party,1983,3.3,141,61127,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Berry,Scott,Libertarian,552,1.2,158,47424,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Deheer,Brian,Green Party,743,1.6,158,47424,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Harrietha,Kyle,Liberal,13403,28.4,158,47424,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Janssen,Roelof,Christian Heritage Party,280,0.6,158,47424,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Lepine,Melody,NDP-New Democratic Party,3663,7.7,158,47424,Alberta,,,,,
48023,Fort McMurray--Cold Lake,validated,Yurdiga,David,Conservative,28625,60.6,158,47424,Alberta,,,,,
48024,Grande Prairie--Mackenzie,validated,Friesen,James David,Green Party,1673,3.1,158,53501,Alberta,,,,,
48024,Grande Prairie--Mackenzie,validated,Johnston,Reagan,Liberal,7819,14.7,158,53501,Alberta,,,,,
48024,Grande Prairie--Mackenzie,validated,Mossagizi,Saba,NDP-New Democratic Party,4343,8.1,158,53501,Alberta,,,,,
48024,Grande Prairie--Mackenzie,validated,Thompson,Dylan,Libertarian,613,1.1,158,53501,Alberta,,,,,
48024,Grande Prairie--Mackenzie,validated,Warkentin,Chris,Conservative,38895,72.9,158,53501,Alberta,,,,,
48025,Lakeland,validated,McFadzean,Robert George,Libertarian,601,1.1,155,54934,Alberta,,,,,
48025,Lakeland,validated,Montgomery,Danielle,Green Party,1283,2.3,155,54934,Alberta,,,,,
48025,Lakeland,validated,Parenteau,Garry,Liberal,7500,13.7,155,54934,Alberta,,,,,
48025,Lakeland,validated,Stubbs,Shannon,Conservative,39882,72.8,155,54934,Alberta,,,,,
48025,Lakeland,validated,Zaraska,Duane,NDP-New Democratic Party,5513,10.1,155,54934,Alberta,,,,,
48026,Lethbridge,validated,Capp,Geoffrey,Christian Heritage Party,746,1.3,158,57101,Alberta,,,,,
48026,Lethbridge,validated,Harder,Rachael,Conservative,32321,56.8,158,57101,Alberta,,,,,
48026,Lethbridge,validated,Krygier-Paine,Solly,Rhinoceros,209,0.4,158,57101,Alberta,,,,,
48026,Lethbridge,validated,MacMillan,Kas,Green Party,1461,2.6,158,57101,Alberta,,,,,
48026,Lethbridge,validated,Meheden,Cheryl,NDP-New Democratic Party,11674,20.5,158,57101,Alberta,,,,,
48026,Lethbridge,validated,Pyne,Mike,Liberal,10532,18.5,158,57101,Alberta,,,,,
48027,Medicine Hat--Cardston--Warner,validated,Allan,Glen,Liberal,9085,17.9,118,50768,Alberta,,,,,
48027,Medicine Hat--Cardston--Warner,validated,Hillyer,Jim,Conservative,34849,68.8,118,50768,Alberta,,,,,
48027,Medicine Hat--Cardston--Warner,validated,Smith,Brent,Green Party,1319,2.6,118,50768,Alberta,,,,,
48027,Medicine Hat--Cardston--Warner,validated,Turner,John Clayton,Independent,500,1,118,50768,Alberta,,,,,
48027,Medicine Hat--Cardston--Warner,validated,Weir,Erin,NDP-New Democratic Party,4897,9.7,118,50768,Alberta,,,,,
48028,Peace River--Westlock,validated,Alexis,Cameron,NDP-New Democratic Party,7127,14.4,170,49689,Alberta,,,,,
48028,Peace River--Westlock,validated,Brown,Chris,Liberal,6360,12.8,170,49689,Alberta,,,,,
48028,Peace River--Westlock,validated,Levac,Sabrina Lee,Green Party,1247,2.5,170,49689,Alberta,,,,,
48028,Peace River--Westlock,validated,Sergeew,Jeremy,Libertarian,443,0.9,170,49689,Alberta,,,,,
48028,Peace River--Westlock,validated,Viersen,Arnold,Conservative,34342,69.4,170,49689,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Dreeshen,Earl,Conservative,46245,74.3,135,62347,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Harris,Paul,NDP-New Democratic Party,5233,8.4,135,62347,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Kastern,Chandra Lescia,Liberal,8356,13.4,135,62347,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Milne,Scott,Pirate,312,0.5,135,62347,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Oleny,Simon,Green Party,1621,2.6,135,62347,Alberta,,,,,
48029,Red Deer--Mountain View,validated,Walper,James,Libertarian,445,0.7,135,62347,Alberta,,,,,
48030,Red Deer--Lacombe,validated,Calkins,Blaine,Conservative,43599,70.7,176,61838,Alberta,,,,,
48030,Red Deer--Lacombe,validated,Hart,Doug,NDP-New Democratic Party,7055,11.4,176,61838,Alberta,,,,,
48030,Red Deer--Lacombe,validated,Kuzyk,Les,Green Party,1773,2.9,176,61838,Alberta,,,,,
48030,Red Deer--Lacombe,validated,Rock,Jeff,Liberal,9235,15,176,61838,Alberta,,,,,
48031,St. Albert--Edmonton,validated,Cooper,Michael,Conservative,26783,45.2,146,59354,Alberta,,,,,
48031,St. Albert--Edmonton,validated,Ghettuba,Beatrice,Liberal,13343,22.5,146,59354,Alberta,,,,,
48031,St. Albert--Edmonton,validated,Malayko,Darlene,NDP-New Democratic Party,6609,11.2,146,59354,Alberta,,,,,
48031,St. Albert--Edmonton,validated,Oldham,Andrea,Green Party,821,1.4,146,59354,Alberta,,,,,
48031,St. Albert--Edmonton,validated,Rathgeber,Brent,Independent,11652,19.7,146,59354,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Burry,Stephen C.,Libertarian,678,1,180,66866,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Cave,Joanne,NDP-New Democratic Party,6540,9.8,180,66866,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Ford,James,Independent,1563,2.3,180,66866,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Frank,Rod,Liberal,13615,20.4,180,66866,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Genuis,Garnett,Conservative,42642,63.9,180,66866,Alberta,,,,,
48032,Sherwood Park--Fort Saskatchewan,validated,Harrop,Brandie,Green Party,1648,2.5,180,66866,Alberta,,,,,
48033,Sturgeon River--Parkland,validated,Ambrose,Rona,Conservative,43220,70.2,157,61694,Alberta,,,,,
48033,Sturgeon River--Parkland,validated,Chauvet,Ernest,Christian Heritage Party,690,1.1,157,61694,Alberta,,,,,
48033,Sturgeon River--Parkland,validated,Desforges,Guy,NDP-New Democratic Party,6166,10,157,61694,Alberta,,,,,
48033,Sturgeon River--Parkland,validated,Dueck,Travis,Liberal,9586,15.6,157,61694,Alberta,,,,,
48033,Sturgeon River--Parkland,validated,Greene,Brendon,Green Party,1875,3,157,61694,Alberta,,,,,
48034,Yellowhead,validated,Eglinski,Jim,Conservative,37950,72.3,161,52686,Alberta,,,,,
48034,Yellowhead,validated,Kuzminski,Ken,NDP-New Democratic Party,4753,9,161,52686,Alberta,,,,,
48034,Yellowhead,validated,Lystang,Cory,Libertarian,817,1.6,161,52686,Alberta,,,,,
48034,Yellowhead,validated,Maguhn,Ryan,Liberal,7467,14.2,161,52686,Alberta,,,,,
48034,Yellowhead,validated,Wolf Lange,Sandra,Green Party,1538,2.9,161,52686,Alberta,,,,,
