Electoral district number - Num̩ro de la circonscription,Electoral district name,Nom de la circonscription,Type of results*,Type de r̩sultats**,Surname - Nom de famille,Middle name(s) - Autre(s) pr̩nom(s),Given name - Pr̩nom,Political affiliation,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejet̩s***,Total number of ballots cast - Nombre total de votes d̩pos̩s
10001,Avalon,Avalon,preliminary,pr̩liminaires,Andrews,,Scott,No Affiliation,Aucune appartenance,7501,17.8,0,42151
10001,Avalon,Avalon,preliminary,pr̩liminaires,Baldwin,,Jeannie,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,6085,14.4,0,42151
10001,Avalon,Avalon,preliminary,pr̩liminaires,Barnett,,Lorraine E.,Conservative,Conservateur,4670,11.1,0,42151
10001,Avalon,Avalon,preliminary,pr̩liminaires,Byrne-Puumala,,Krista,Green Party,Parti Vert,228,0.5,0,42151
10001,Avalon,Avalon,preliminary,pr̩liminaires,McCreath,,Jennifer,Forces et D̩mocratie - Allier les forces de nos r̩gions,Forces et D̩mocratie - Allier les forces de nos r̩gions,84,0.2,0,42151
10001,Avalon,Avalon,preliminary,pr̩liminaires,McDonald,,Ken,Liberal,Lib̩ral,23583,55.9,0,42151
10001,Avalon,Avalon,validated,valid̩s,Andrews,,Scott,No Affiliation,Aucune appartenance,7501,17.8,162,42248
10001,Avalon,Avalon,validated,valid̩s,Baldwin,,Jeannie,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,6075,14.4,162,42248
10001,Avalon,Avalon,validated,valid̩s,Barnett,,Lorraine E.,Conservative,Conservateur,4670,11.1,162,42248
10001,Avalon,Avalon,validated,valid̩s,Byrne-Puumala,,Krista,Green Party,Parti Vert,228,0.5,162,42248
10001,Avalon,Avalon,validated,valid̩s,McCreath,,Jennifer,Forces et D̩mocratie - Allier les forces de nos r̩gions,Forces et D̩mocratie - Allier les forces de nos r̩gions,84,0.2,162,42248
10001,Avalon,Avalon,validated,valid̩s,McDonald,,Ken,Liberal,Lib̩ral,23528,55.9,162,42248
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,pr̩liminaires,Brown,,Jenn,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2553,7.3,0,35029
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,pr̩liminaires,Colbourne,,Tyler John,Green Party,Parti Vert,297,0.8,0,35029
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,pr̩liminaires,Foote,,Judy M.,Liberal,Lib̩ral,28645,81.8,0,35029
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,pr̩liminaires,Windsor,,Mike,Conservative,Conservateur,3534,10.1,0,35029
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,valid̩s,Brown,,Jenn,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2557,7.3,173,35265
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,valid̩s,Colbourne,,Tyler John,Green Party,Parti Vert,297,0.8,173,35265
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,valid̩s,Foote,,Judy M.,Liberal,Lib̩ral,28704,81.8,173,35265
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,valid̩s,Windsor,,Mike,Conservative,Conservateur,3534,10.1,173,35265
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,pr̩liminaires,Menchenton,,Claudette,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2184,6.1,0,35530
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,pr̩liminaires,O'Brien,,Kevin George,Conservative,Conservateur,6503,18.3,0,35530
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,pr̩liminaires,Perry,,Elizabeth,Green Party,Parti Vert,271,0.8,0,35530
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,pr̩liminaires,Simms,,Scott,Liberal,Lib̩ral,26572,74.8,0,35530
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,valid̩s,Menchenton,,Claudette,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2175,6.1,145,35593
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,valid̩s,O'Brien,,Kevin George,Conservative,Conservateur,6479,18.3,145,35593
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,valid̩s,Perry,,Elizabeth,Green Party,Parti Vert,271,0.8,145,35593
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,valid̩s,Simms,,Scott,Liberal,Lib̩ral,26523,74.8,145,35593
10004,Labrador,Labrador,preliminary,pr̩liminaires,Jones,,Yvonne,Liberal,Lib̩ral,8878,71.8,0,12373
10004,Labrador,Labrador,preliminary,pr̩liminaires,Penashue,,Peter,Conservative,Conservateur,1716,13.9,0,12373
10004,Labrador,Labrador,preliminary,pr̩liminaires,Rudkowski,,Edward,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,1779,14.4,0,12373
10004,Labrador,Labrador,validated,valid̩s,Jones,,Yvonne,Liberal,Lib̩ral,8878,71.8,53,12426
10004,Labrador,Labrador,validated,valid̩s,Penashue,,Peter,Conservative,Conservateur,1716,13.9,53,12426
10004,Labrador,Labrador,validated,valid̩s,Rudkowski,,Edward,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,1779,14.4,53,12426
10005,Long Range Mountains,Long Range Mountains,preliminary,pr̩liminaires,Babstock,,Devon,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4719,11.3,0,41812
10005,Long Range Mountains,Long Range Mountains,preliminary,pr̩liminaires,Cormier,,Terry,Green Party,Parti Vert,1110,2.7,0,41812
10005,Long Range Mountains,Long Range Mountains,preliminary,pr̩liminaires,Hutchings,,Gudie,Liberal,Lib̩ral,30897,73.9,0,41812
10005,Long Range Mountains,Long Range Mountains,preliminary,pr̩liminaires,Ruth,,Wayne,Conservative,Conservateur,5086,12.2,0,41812
10005,Long Range Mountains,Long Range Mountains,validated,valid̩s,Babstock,,Devon,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4739,11.3,108,41932
10005,Long Range Mountains,Long Range Mountains,validated,valid̩s,Cormier,,Terry,Green Party,Parti Vert,1111,2.7,108,41932
10005,Long Range Mountains,Long Range Mountains,validated,valid̩s,Hutchings,,Gudie,Liberal,Lib̩ral,30889,73.9,108,41932
10005,Long Range Mountains,Long Range Mountains,validated,valid̩s,Ruth,,Wayne,Conservative,Conservateur,5085,12.2,108,41932
10006,St. John's East,St. John's-Est,preliminary,pr̩liminaires,Burton,,Sean,Communist,Communiste,139,0.3,0,44415
10006,St. John's East,St. John's-Est,preliminary,pr̩liminaires,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,20113,45.3,0,44415
